 ,Min1,Max1,X1,Y1,Min2,Max2,X2,Y2,Min3,Max3,X3,Y3,Min4,Max4,X4,Y4,Min5,Max5,X5,Y5,Min6,Max6,X6,Y6,Min7,Max7,X7,Y7,Min8,Max8,X8,Y8,Min9,Max9,X9,Y9,Min10,Max10,X10,Y10,Min11,Max11,X11,Y11,Min12,Max12,X12,Y12,Min13,Max13,X13,Y13
41,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,2,114,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
42,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,8,123,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
43,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,18,91,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
44,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,4,59,47.921,79.522,0,1,47.841,82.242,0,0,47.361,84.962
45,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,1,23,47.921,79.522,0,4,47.841,82.242,0,0,47.361,84.962
46,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,5,47.921,79.522,0,27,47.841,82.242,0,0,47.361,84.962
47,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,1,60.321,52.001,0,1,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,1,47.921,79.522,1,152,47.841,82.242,0,0,47.361,84.962
48,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,1,3,60.321,52.001,3,4,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,1,169,47.841,82.242,0,0,47.361,84.962
49,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,1,3,60.321,52.001,3,5,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,3,290,47.841,82.242,0,1,47.361,84.962
50,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,1,3,60.321,52.001,2,6,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,7,201,47.841,82.242,0,1,47.361,84.962
